Year,abbr,states,American_Indian,poverty,uninsured,skin_cancer,depression,diabetes
2014,AL,Alabama,22553,0.5,12.1,8.2,21.3,12.9
2014,AK,Alaska,103273,0.9,17.2,3.2,15.6,7.4
2014,AZ,Arizona,294757,0.4,13.6,8.3,18.7,10.1
2014,AR,Arkansas,17091,0.5,11.8,6.6,21.5,12.8
2014,CA,California,286631,0.2,12.4,4.8,13.3,10.3
2014,CO,Colorado,55784,0.4,10.3,6.3,17,7.3
2014,CT,Connecticut,7085,0.5,6.9,5.8,18.3,9.2
2014,DE,Delaware,3284,0.9,7.8,6.7,18.3,11.1
2014,DC,District of Columbia,1859,1.2,5.3,2.9,18.1,8.4
2014,FL,Florida,53014,0.3,16.6,8.9,16.2,11.2
2014,GA,Georgia,25301,0.4,15.8,6.4,18.3,11.6
2014,HI,Hawaii,2191,0.8,5.3,4.5,10.7,9.8
2014,ID,Idaho,21550,0.7,13.6,7.1,19.5,7.6
2014,IL,Illinois,27995,0.3,9.7,4.2,16.7,10.1
2014,IN,Indiana,13063,0.4,11.9,5.6,20.7,10.7
2014,IA,Iowa,9617,0.5,6.2,5.9,18.7,9.5
2014,KS,Kansas,24500,0.5,10.2,6.2,18.6,10.3
2014,KY,Kentucky,10526,0.5,8.5,7.7,23.9,12.5
2014,LA,Louisiana,26009,0.5,14.8,5,18.7,11.3
2014,ME,Maine,8322,0.7,10.1,6.9,23.7,9.5
2014,MD,Maryland,14657,0.4,7.9,4.9,15.9,10.1
2014,MA,Massachusetts,15599,0.3,3.3,6.3,21.7,9.7
2014,MI,Michigan,55729,0.3,8.5,5.8,20.5,10.4
2014,MN,Minnesota,56934,0.4,5.9,5.1,18.2,8.1
2014,MS,Mississippi,12252,0.6,14.5,5.7,19.9,13
2014,MO,Missouri,26387,0.4,11.7,6,21.7,11.1
2014,MT,Montana,70035,0.8,14.2,6.8,20.4,8.8
2014,NE,Nebraska,17959,0.5,9.7,5.7,17.7,9.2
2014,NV,Nevada,30503,0.7,15.2,6.3,15.6,9.6
2014,NH,New Hampshire,2339,0.6,9.2,6.3,21,9.2
2014,NJ,New Jersey,15270,0.3,10.9,4.8,13.4,9.7
2014,NM,New Mexico,198450,0.9,14.5,5.2,21.1,11.5
2014,NY,New York,81512,0.3,8.7,4.1,15.9,10
2014,NC,North Carolina,111276,0.3,13.1,6.6,19,10.8
2014,ND,North Dakota,39669,0.9,7.9,4.4,17.3,8.6
2014,OH,Ohio,22761,0.3,8.4,6,20.9,11.7
2014,OK,Oklahoma,289732,0.4,15.4,5.9,21.8,12
2014,OR,Oregon,46761,0.5,9.7,7.4,24,9
2014,PA,Pennsylvania,27367,0.3,8.5,6.1,19.7,11.2
2014,RI,Rhode Island,5579,0.9,7.4,6.3,20.6,9.5
2014,SC,South Carolina,14155,0.5,13.6,7.2,19.9,12
2014,SD,South Dakota,71811,0.7,9.8,6.1,16.6,9.1
2014,TN,Tennessee,17139,0.4,12,6.8,21.4,13
2014,TX,Texas,121708,0.2,19.1,4.6,14.6,11
2014,UT,Utah,32874,0.6,12.5,6.6,20.7,7.1
2014,VT,Vermont,2513,0.8,5,6.4,21.8,7.9
2014,VA,Virginia,21233,0.3,10.9,5.5,17.4,9.7
2014,WA,Washington,95613,0.4,9.2,5.8,21.6,8.9
2014,WV,West Virginia,3716,0.7,8.6,7.6,23.6,14.1
2014,WI,Wisconsin,50703,0.4,7.3,5.5,17,9
2014,WY,Wyoming,15073,0.9,12,7.5,19,8.4
2014,PR,Puerto Rico,10710,0.7,6.1,1.2,8.7,10.8